date,source,market,code,name,shares,share_unit,close,industry,source_file
2026-08-03,akshare_fund_etf_scale_sse,SH,510010,治理ETF,130524400.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510020,超大ETF,36848000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510030,价值ETF,154729800.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510040,上证180E,32480000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510050,50ETF,7677666800.000001,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510060,央企ETF,34959200.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510090,ESG建信,27081100.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510100,SZ50ETF,1036406799.9999999,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510130,中盘ETF,31485100.000000004,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510140,上证指,131230500.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510150,消费ETF,3067178600.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510160,产业升级,192057400.00000003,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510170,商品ETF,338914800.00000006,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510180,180ETF,4429057700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510190,上证50基,23650800.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510200,上证券商,153885500.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510210,综指ETF,20432192600.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510230,金融ETF,626808000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510270,国企ETF,16832100.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510290,380ETF,56448900.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510300,300ETF,27058087700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510310,HS300ETF,11796044000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510320,300中金,634068500.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510330,华夏300,8785149800.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510350,工银300,684114700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510360,广发300,1907381200.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510370,兴业300,87258100.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510380,国寿300,1488802400.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510390,平安300,126650000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510410,资源ETF,427258399.99999994,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510500,500ETF,6311768600.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510510,广发500,971038300.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510530,工银500,48979399.99999999,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510550,方正500,23743300.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510560,国寿500,60318700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510570,兴业500,35560600.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510580,ZZ500ETF,1163768300.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510590,平安500,115586100.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510600,沪50ETF,13615100.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510630,消费30,637361500.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510650,金融行业,11452500.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510660,医药行业,58879700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510670,180指,190493000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510680,万家50,21124699.999999996,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510710,上50ETF,106118900.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510720,红利国泰,2338766000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510760,上证ETF,4376503700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510770,G60创新,21610700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510800,上证50,180576000.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510810,上海国企,5969293700.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510850,工银上50,55698900.0,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510880,红利ETF,6876675699.999999,份,,,akshare:20260803
2026-08-03,akshare_fund_etf_scale_sse,SH,510900,恒生中国,3444021900.0,份,,,akshare:20260803
