date,source,market,code,name,shares,share_unit,close,industry,source_file
2026-08-21,akshare_fund_etf_scale_sse,SH,510010,治理ETF,130524400.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510020,超大ETF,34848000.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510030,价值ETF,149229800.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510040,上证180E,28480000.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510050,50ETF,7325766800.000001,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510060,央企ETF,35959200.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510090,ESG建信,24081100.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510100,SZ50ETF,940106799.9999999,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510130,中盘ETF,31485100.000000004,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510140,上证指,80230500.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510150,消费ETF,2811178600.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510160,产业升级,192057400.00000003,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510170,商品ETF,338914800.00000006,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510180,180ETF,4418057700.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510190,上证50基,23650800.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510200,上证券商,155385500.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510210,综指ETF,15617192600.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510230,金融ETF,619808000.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510270,国企ETF,15832100.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510290,380ETF,56448900.0,份,,,akshare:20260821
2026-08-21,akshare_fund_etf_scale_sse,SH,510300,300ETF,23481487700.0,份,,,akshare:20260821
