date,source,market,code,name,shares,share_unit,close,industry,source_file
2026-07-01,akshare_fund_etf_scale_sse,SH,510010,治理ETF,131524400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510020,超大ETF,35848000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510030,价值ETF,163729800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510040,上证180E,34480000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510050,50ETF,6388866800.000001,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510060,央企ETF,36959200.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510090,ESG建信,25081100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510100,SZ50ETF,1100306800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510130,中盘ETF,31085100.000000004,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510150,消费ETF,2985178600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510160,产业升级,194057400.00000003,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510170,商品ETF,364914800.00000006,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510180,180ETF,4458557700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510190,上证50基,23650800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510200,上证券商,154885500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510210,综指ETF,8180192600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510230,金融ETF,875808000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510270,国企ETF,17832100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510290,380ETF,54448900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510300,300ETF,18395587700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510310,HS300ETF,11335244000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510320,300中金,637068500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510330,华夏300,7503549800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510350,工银300,677814700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510360,广发300,1514381200.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510370,兴业300,78258100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510380,国寿300,1242802400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510390,平安300,119450000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510410,资源ETF,421258399.99999994,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510500,500ETF,4108968600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510510,广发500,769038300.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510530,工银500,44979399.99999999,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510550,方正500,21743300.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510560,国寿500,62318700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510570,兴业500,28060600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510580,ZZ500ETF,906168300.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510590,平安500,138786100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510600,沪50ETF,12115100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510630,消费30,532361500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510650,金融行业,11952500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510660,医药行业,54879700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510670,180指,200493000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510680,万家50,17824700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510710,上50ETF,104318900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510720,红利国泰,3729766000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510760,上证ETF,2021503700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510770,G60创新,23110700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510800,上证50,183576000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510810,上海国企,6058993700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510850,工银上50,61098900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510880,红利ETF,7683675699.999999,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510900,恒生中国,3453021900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510910,上证指CS,99796000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510950,上证广发,103720800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510980,上证综合,443798000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,510990,ESG180,38948600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511010,国债ETF,36686300.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511020,活跃国债,29437500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511030,公司债,381550700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511060,5年地债,16236300.000000002,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511070,沪公司债,261011000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511090,30年国债,254668100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511100,基准国债,116330500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511110,公司债易,269399600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511120,科创债基,113690600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511130,国债30年,173599700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511150,科债永赢,113590900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511160,国债东财,29450900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511180,上证转债,911959700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511190,信用债,122494300.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511200,信用债基,197367500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511220,城投ETF,5277781400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511260,十年国债,144886500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511270,10年地债,83287500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511360,短融ETF,689428600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511380,转债ETF,4271486700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511520,政金债,357966500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,511580,国债政金,91500800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512000,券商ETF,71294435400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512010,医药ETF,49214694900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512020,A500,941012700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512030,A50增,45240000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512040,国信价值,4138715900.0000005,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512050,A500E,13432992200.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512060,A100指基,8928000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512070,证券保险,17382479700.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512080,A500中金,596186100.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512090,MSCI易基,335592300.00000006,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512100,1000ETF,3011217600.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512120,医药50,849241900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512130,现金全指,13895000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512140,电力事业,161049000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512150,A50ETF,19073400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512160,MSCI基金,121777800.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512170,医疗ETF,83305820500.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512180,建信MSCI,48048000.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512190,之江凤凰,154618400.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512200,地产ETF,2618847900.0,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512220,TMTETF,194967599.99999997,份,,,akshare:20260701
2026-07-01,akshare_fund_etf_scale_sse,SH,512240,A50龙头,17186000.0,份,,,akshare:20260701
