date,source,market,code,name,shares,share_unit,close,industry,source_file
2026-06-01,akshare_fund_etf_scale_sse,SH,510010,治理ETF,134524400.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510020,超大ETF,35848000.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510030,价值ETF,162229800.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510040,上证180E,36480000.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510050,50ETF,8451666800.000001,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510060,央企ETF,36959200.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510090,ESG建信,26081100.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510100,SZ50ETF,1333406800.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510130,中盘ETF,31885100.000000004,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510150,消费ETF,3005178600.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510160,产业升级,198057400.00000003,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510170,商品ETF,404914800.00000006,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510180,180ETF,4889557700.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510190,上证50基,26150800.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510200,上证券商,158385500.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510210,综指ETF,6866192600.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510230,金融ETF,2296808000.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510270,国企ETF,17832100.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510290,380ETF,56448900.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510300,300ETF,28199287700.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510310,HS300ETF,22122644000.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510320,300中金,577068500.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510330,华夏300,14229249800.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510350,工银300,686814700.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510360,广发300,1487381200.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510370,兴业300,81258100.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510380,国寿300,1158802400.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510390,平安300,111350000.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510410,资源ETF,466258399.99999994,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510500,500ETF,4585768600.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510510,广发500,841038300.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510530,工银500,45479399.99999999,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510550,方正500,23743300.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510560,国寿500,62318700.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510570,兴业500,45560600.00000001,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510580,ZZ500ETF,974168300.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510590,平安500,142786100.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510600,沪50ETF,13315100.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510630,消费30,555361500.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510650,金融行业,10452500.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510660,医药行业,42379700.0,份,,,akshare:20260601
2026-06-01,akshare_fund_etf_scale_sse,SH,510670,180指,250493000.0,份,,,akshare:20260601
