date,source,market,code,name,shares,share_unit,close,industry,source_file
2024-06-28,akshare_fund_scale_daily_szse,SZ,159001,货币ETF,15638538.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159003,招商快线ETF,2175790.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159005,汇添富快钱ETF,983511.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159150,深证50ETF易方达,319997623.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159300,300ETF,159358097.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159303,恒生医疗ETF基金,221991693.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159306,汽车零件ETF,108244616.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159307,红利低波100ETF,242903552.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159309,油气资源ETF,358371736.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159310,芯片产业ETF,588981080.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159315,黄金股ETF基金,213089621.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159318,恒生港股通ETF,194601647.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159321,黄金股票ETF,125900397.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159322,黄金产业ETF,35411691.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159350,深证50ETF富国,880009642.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159501,纳斯达克指数ETF,2533986575.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159502,标普生物科技ETF,859323019.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159503,财富管理ETF,32777361.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159505,国证2000指数ETF,52104786.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159506,恒生医疗ETF,545536979.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159507,电信ETF,57943634.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159508,生物医药ETF基金,152831598.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159509,纳指科技ETF,6073564118.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159510,沪深300价值ETF,156128342.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159511,通信ETF基金,111944573.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159512,汽车ETF,63264855.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159513,纳斯达克100指数ETF,4534549100.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159515,国企红利ETF,56186631.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159516,半导体设备ETF,929589993.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159517,800增强ETF,23742624.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159518,标普油气ETF,122325369.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159519,港股国企ETF,113157854.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159520,消费龙头ETF,44177649.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159521,2000指数ETF,66274435.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159522,国证2000ETF景顺,40896935.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159523,沪深300成长ETF,59517348.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159525,红利低波ETF,246743741.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159526,机器人指数ETF,30962964.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159527,数据ETF,26100450.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159528,国企改革ETF,61320773.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159529,标普消费ETF,60536791.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159530,机器人100ETF,56613169.0,份,,,akshare:szse_daily
2024-06-28,akshare_fund_scale_daily_szse,SZ,159531,中证2000ETF,544608406.0,份,,,akshare:szse_daily
