date,estimated_balance_shares,estimated_balance_100m_shares,balance_index_2024_01_02
2024-01-02,423137078013.0,4231.37078013,1.0
2024-01-03,424071178013.0,4240.71178013,1.002207558846855
2024-01-04,424620478013.0,4246.20478013,1.0035057197231825
2024-01-05,425976078013.0,4259.76078013,1.0067094096630143
2024-01-08,427280678013.0,4272.80678013,1.0097925712855462
2024-01-09,428342734102.0,4283.42734102,1.0123025288009389
2024-01-10,428612134102.0,4286.12134102,1.0129392019123216
2024-01-11,429438934102.0,4294.38934102,1.0148931786327795
2024-01-12,429165934102.0,4291.65934102,1.0142479976401755
2024-01-15,428994234102.0,4289.94234102,1.0138422189719334
2024-01-16,429344034102.0,4293.44034102,1.0146689014305887
2024-01-17,430973434102.0,4309.73434102,1.0185196630032958
2024-01-18,436133834102.0,4361.33834102,1.0307152380737494
2024-01-19,438983934102.0,4389.83934102,1.037450880370529
2024-01-22,445889734102.0,4458.89734102,1.0537713598530378
2024-01-23,445837834102.0,4458.37834102,1.053648704565433
2024-01-24,448705034102.0,4487.05034102,1.0604247592980127
2024-01-25,450383234102.0,4503.83234102,1.0643908499272732
2024-01-26,453118255507.0,4531.18255507,1.0708545269414536
2024-01-29,454887755507.0,4548.87755507,1.0750363868916837
2024-01-30,457557055507.0,4575.57055507,1.081344744487134
2024-01-31,462563055507.0,4625.63055507,1.093175425985214
2024-02-01,466933055507.0,4669.33055507,1.103503048467557
2024-02-02,473813155507.0,4738.13155507,1.1197627911313484
2024-02-05,486724755507.0,4867.24755507,1.1502767797910785
2024-02-06,493696655507.0,4936.96655507,1.1667534734260092
2024-02-07,504437255507.0,5044.37255507,1.1921367370493168
2024-02-08,519509955507.0,5195.09955507,1.2277580540721111
2024-02-19,520305855507.0,5203.05855507,1.2296390048120875
2024-02-20,517959155507.0,5179.59155507,1.224093047906066
2024-02-21,517266355507.0,5172.66355507,1.222455753431062
2024-02-22,515179716280.0,5151.7971628,1.2175243982380863
2024-02-23,513267016280.0,5132.6701628,1.2130041136792813
2024-02-26,509949416280.0,5099.4941628,1.2051636284739218
2024-02-27,507290416280.0,5072.9041628,1.1988796128719652
2024-02-28,506886616280.0,5068.8661628,1.1979253121949927
2024-02-29,503364616280.0,5033.6461628,1.1896017684002989
2024-03-01,501318216280.0,5013.1821628,1.1847655105861417
2024-03-04,497031516280.0,4970.3151628,1.1746347510220547
2024-03-05,502816316280.0,5028.1631628,1.1883059708243107
2024-03-06,505516316280.0,5055.1631628,1.1946868817401748
2024-03-07,505650816280.0,5056.5081628,1.1950047456357984
2024-03-08,504709016280.0,5047.0901628,1.1927789893763312
2024-03-11,502898812320.0,5028.9881232,1.1885009337436259
2024-03-12,505414044420.0,5054.1404442,1.1944451826187452
2024-03-13,503835344420.0,5038.3534442,1.190714240373236
2024-03-14,502222544420.0,5022.2254442,1.1869027095861597
2024-03-15,508592315337.0,5085.92315337,1.201956391354989
2024-03-18,509649230137.0,5096.49230137,1.204454198460344
2024-03-19,507014430137.0,5070.14430137,1.1982273747265964
2024-03-20,505560430137.0,5055.60430137,1.1947911360333865
2024-03-21,503246830137.0,5032.46830137,1.1893234043685927
2024-03-22,502487930137.0,5024.87930137,1.187529895741167
2024-03-25,500961030137.0,5009.61030137,1.183921372453229
2024-03-26,500943230137.0,5009.43230137,1.183879305707191
2024-03-27,500754630137.0,5007.54630137,1.1834335872632162
2024-03-28,499995730137.0,4999.95730137,1.1816400786357906
2024-03-29,499633728984.0,4996.33728984,1.1807845611881118
2024-04-01,499103628984.0,4991.03628984,1.179531775678297
2024-04-02,498963328984.0,4989.63328984,1.179200204640706
2024-04-03,497563828984.0,4975.63828984,1.1758927658159832
2024-04-08,496452328984.0,4964.52328984,1.1732659574889523
2024-04-09,496785528984.0,4967.85528984,1.1740534091619768
2024-04-10,497759528984.0,4977.59528984,1.1763552636923664
2024-04-11,498672728984.0,4986.72728984,1.178513429562132
2024-04-12,498239362335.0,4982.39362335,1.1774892540135484
2024-04-15,496651962335.0,4966.51962335,1.1737377510550882
2024-04-16,497710662335.0,4977.10662335,1.1762397771242086
2024-04-17,497999262335.0,4979.99262335,1.1769218256021043
2024-04-18,496786462335.0,4967.86462335,1.1740556149507118
2024-04-19,496717462335.0,4967.17462335,1.1738925472273063
2024-04-22,496204662335.0,4962.04662335,1.17268064681336
2024-04-23,497049862335.0,4970.49862335,1.1746781082600595
2024-04-24,497668462335.0,4976.68462335,1.176140045849894
2024-04-25,498581362335.0,4985.81362335,1.178297502729558
2024-04-26,501652662335.0,5016.52662335,1.1855559070613702
2024-04-29,504967462335.0,5049.67462335,1.19338977502578
2024-04-30,506062962335.0,5060.62962335,1.1959787705473834
2024-05-06,506806562335.0,5068.06562335,1.197736120679619
2024-05-07,506091662335.0,5060.91662335,1.1960465972671186
2024-05-08,503832062335.0,5038.32062335,1.1907064838206423
2024-05-09,502758062335.0,5027.58062335,1.1881682992563318
2024-05-10,501514062335.0,5015.14062335,1.185228353634356
2024-05-13,500892362335.0,5008.92362335,1.1837590898134698
2024-05-14,500459462335.0,5004.59462335,1.1827360170966261
2024-05-15,499622862335.0,4996.22862335,1.180758880032844
2024-05-16,499724062335.0,4997.24062335,1.1809980460271718
2024-05-17,503246762335.0,5032.46762335,1.189323244132103
2024-05-20,503844462335.0,5038.44462335,1.1907357887448484
2024-05-21,503292462335.0,5032.92462335,1.1894312469576052
2024-05-22,503081231035.0,5030.81231035,1.1889320439546636
2024-05-23,503834331035.0,5038.34331035,1.1907118454401218
2024-05-24,506914983414.0,5069.14983414,1.1979923522523972
2024-05-27,507035883414.0,5070.35883414,1.1982780752634077
2024-05-28,506422783414.0,5064.22783414,1.1968291358254386
2024-05-29,506665383414.0,5066.65383414,1.1974024724877308
2024-05-30,506981383414.0,5069.81383414,1.1981492753949208
2024-05-31,508266183414.0,5082.66183414,1.2011856436707364
2024-06-03,508156683414.0,5081.56683414,1.200926862283593
2024-06-04,509147780436.0,5091.47780436,1.2032691222118745
2024-06-05,509266080436.0,5092.66080436,1.203548700642003
2024-06-06,511378539221.0,5113.78539221,1.2085410752051584
2024-06-07,513010539221.0,5130.10539221,1.2123979813587473
2024-06-11,515888939221.0,5158.88939221,1.2192005050551264
2024-06-12,517897139221.0,5178.97139221,1.2239464847963257
2024-06-13,519008739221.0,5190.08739221,1.2265735294533904
2024-06-14,521447039221.0,5214.47039221,1.2323359646704835
2024-06-17,522076339221.0,5220.76339221,1.2338231895739478
2024-06-18,522873039221.0,5228.73039221,1.2357060309541954
2024-06-19,523025539221.0,5230.25539221,1.2360664342559249
2024-06-20,523007539221.0,5230.07539221,1.236023894849819
2024-06-21,524885339221.0,5248.85339221,1.2404617002267857
2024-06-24,528242000296.0,5282.42000296,1.2483944984839426
2024-06-25,531350900296.0,5313.50900296,1.2557417629085093
2024-06-26,532552200296.0,5325.52200296,1.258580795606001
2024-06-27,534741690615.0,5347.41690615,1.2637552188195882
2024-06-28,537611090615.0,5376.11090615,1.2705364728129143
2024-07-01,537878690615.0,5378.78690615,1.2711688919836868
2024-07-02,537486890615.0,5374.86890615,1.2702429509107847
2024-07-03,537668790615.0,5376.68790615,1.2706728352424868
2024-07-04,539381790615.0,5393.81790615,1.2747211687235516
2024-07-05,540917990615.0,5409.17990615,1.2783516707046443
2024-07-08,542011290615.0,5420.11290615,1.2809354669655015
2024-07-09,544657490615.0,5446.57490615,1.2871892323231162
2024-07-10,544422090615.0,5444.22090615,1.2866329114232664
2024-07-11,544384227417.0,5443.84227417,1.2865434293145894
2024-07-12,543468027417.0,5434.68027417,1.2843781735438062
2024-07-15,543521827417.0,5435.21827417,1.2845053191020557
2024-07-16,542532327417.0,5425.32327417,1.2821668334164085
2024-07-17,545358927417.0,5453.58927417,1.2888469381552163
2024-07-18,549187195054.0,5491.87195054,1.2978942843603212
2024-07-19,554341942054.0,5543.41942054,1.3100764996939573
2024-07-22,554430342054.0,5544.30342054,1.3102854154439434
2024-07-23,557069942054.0,5570.69942054,1.3165235830193194
2024-07-24,559750542054.0,5597.50542054,1.3228586459086027
2024-07-25,563233342054.0,5632.33342054,1.3310895483299996
2024-07-26,564844642054.0,5648.44642054,1.334897534166567
2024-07-29,566235242054.0,5662.35242054,1.3381839396182709
2024-07-30,569462942054.0,5694.62942054,1.3458119641231356
2024-07-31,571298042054.0,5712.98042054,1.350148856575618
2024-08-01,572398642054.0,5723.98642054,1.3527499049289513
2024-08-02,574674542054.0,5746.74542054,1.3581285401709569
2024-08-05,578886242054.0,5788.86242054,1.368082052209603
2024-08-06,579745042054.0,5797.45042054,1.3701116545409158
2024-08-07,579920742054.0,5799.20742054,1.370526886410515
2024-08-08,581293442054.0,5812.93442054,1.373770988786147
2024-08-09,580746242054.0,5807.46242054,1.372477790840532
2024-08-12,581206742054.0,5812.06742054,1.3735660906467375
2024-08-13,581533042054.0,5815.33042054,1.3743372355474215
2024-08-14,581881342054.0,5818.81342054,1.375160373055568
2024-08-15,585319242054.0,5853.19242054,1.3832851632917342
2024-08-16,587262843063.0,5872.62843063,1.3878784762155907
2024-08-19,588250543063.0,5882.50543063,1.3902127079606275
2024-08-20,589202743063.0,5892.02743063,1.3924630425436222
2024-08-21,590900443063.0,5909.00443063,1.3964752175294972
2024-08-22,592183843063.0,5921.83843063,1.399508277184838
2024-08-23,595009043063.0,5950.09043063,1.406185073303171
2024-08-26,596351543063.0,5963.51543063,1.409357804008559
2024-08-27,599017846128.0,5990.17846128,1.4156590789465073
2024-08-28,601235046128.0,6012.35046128,1.4208989884586014
2024-08-29,604454046128.0,6044.54046128,1.4285064522505149
2024-08-30,605252046128.0,6052.52046128,1.4303923659212037
2024-09-02,605581646128.0,6055.81646128,1.431171309713007
2024-09-03,604201046128.0,6042.01046128,1.4279085372646951
2024-09-04,603954546128.0,6039.54546128,1.42732598373108
2024-09-05,605140946128.0,6051.40946128,1.4301298032535175
2024-09-06,605241346128.0,6052.41346128,1.4303670786075742
2024-09-09,608171046128.0,6081.71046128,1.4372908396113546
2024-09-10,609465546128.0,6094.65546128,1.4403501319004606
2024-09-11,608694446128.0,6086.94446128,1.4385277910088965
2024-09-12,609433646128.0,6094.33646128,1.4402747426196398
2024-09-13,610239846128.0,6102.39846128,1.44218003535311
2024-09-18,611931446128.0,6119.31446128,1.4461777942069158
2024-09-19,615795656739.0,6157.95656739,1.455310084454667
2024-09-20,618778856739.0,6187.78856739,1.462360282026595
2024-09-23,619486656739.0,6194.86656739,1.4640330260066872
