date,source,market,code,name,shares,share_unit,close,source_file,industry,shares_change,shares_change_pct,cash_proxy
2026-04-17,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1512447904.0,份,,akshare:szse_daily,未分类,-3000000.0,-0.0019796127548044,
2026-04-20,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1566447904.0,份,,akshare:szse_daily,未分类,54000000.0,0.0357037091044162,
2026-04-21,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1575447904.0,份,,akshare:szse_daily,未分类,9000000.0,0.0057454831258786,
2026-04-22,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1609447904.0,份,,akshare:szse_daily,未分类,34000000.0,0.0215811642604464,
2026-04-23,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1585447904.0,份,,akshare:szse_daily,未分类,-24000000.0,-0.0149119458544462,
2026-04-24,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1581447904.0,份,,akshare:szse_daily,未分类,-4000000.0,-0.0025229463484156,
2026-04-27,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1624447904.0,份,,akshare:szse_daily,未分类,43000000.0,0.0271902728450547,
2026-04-28,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1585447904.0,份,,akshare:szse_daily,未分类,-39000000.0,-0.0240081568045163,
2026-04-29,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1594447904.0,份,,akshare:szse_daily,未分类,9000000.0,0.0056766292839351,
2026-04-30,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1604447904.0,份,,akshare:szse_daily,未分类,10000000.0,0.0062717633952874,
2026-05-06,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1677447904.0,份,,akshare:szse_daily,未分类,73000000.0,0.0454985168530595,
2026-05-07,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1684447904.0,份,,akshare:szse_daily,未分类,7000000.0,0.0041730058998005,
2026-05-08,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1680447904.0,份,,akshare:szse_daily,未分类,-4000000.0,-0.0023746653075475,
2026-05-11,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1696447904.0,份,,akshare:szse_daily,未分类,16000000.0,0.0095212710622655,
2026-05-12,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1682447904.0,份,,akshare:szse_daily,未分类,-14000000.0,-0.0082525375326821,
2026-05-13,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1713447904.0,份,,akshare:szse_daily,未分类,31000000.0,0.018425533370928,
2026-05-14,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1670447904.0,份,,akshare:szse_daily,未分类,-43000000.0,-0.0250955981209686,
2026-05-15,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1629447904.0,份,,akshare:szse_daily,未分类,-41000000.0,-0.0245443152712651,
2026-05-18,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1610447904.0,份,,akshare:szse_daily,未分类,-19000000.0,-0.0116603911995949,
2026-05-19,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1605447904.0,份,,akshare:szse_daily,未分类,-5000000.0,-0.0031047263233918,
2026-05-20,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1625447904.0,份,,akshare:szse_daily,未分类,20000000.0,0.0124575826784348,
2026-05-21,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1638447904.0,份,,akshare:szse_daily,未分类,13000000.0,0.0079977955417757,
2026-05-22,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,1816447904.0,份,,akshare:szse_daily,未分类,178000000.0,0.1086394016956183,
2026-05-25,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2246447904.0,份,,akshare:szse_daily,未分类,430000000.0,0.2367257541783042,
2026-05-26,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2321447904.0,份,,akshare:szse_daily,未分类,75000000.0,0.0333860401865789,
2026-05-27,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2317447904.0,份,,akshare:szse_daily,未分类,-4000000.0,-0.0017230625736238,
2026-05-28,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2314447904.0,份,,akshare:szse_daily,未分类,-3000000.0,-0.0012945274820727,
2026-05-29,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2338447904.0,份,,akshare:szse_daily,未分类,24000000.0,0.0103696436452604,
2026-06-01,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2285447904.0,份,,akshare:szse_daily,未分类,-53000000.0,-0.0226646058307912,
2026-06-02,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2272447904.0,份,,akshare:szse_daily,未分类,-13000000.0,-0.0056881629098818,
2026-06-03,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2402447904.0,份,,akshare:szse_daily,未分类,130000000.0,0.0572070320165192,
2026-06-04,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2441447904.0,份,,akshare:szse_daily,未分类,39000000.0,0.0162334425379489,
2026-06-05,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2546447904.0,份,,akshare:szse_daily,未分类,105000000.0,0.0430072662324561,
2026-06-08,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2518447904.0,份,,akshare:szse_daily,未分类,-28000000.0,-0.010995708946575,
2026-06-09,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2463447904.0,份,,akshare:szse_daily,未分类,-55000000.0,-0.0218388476142963,
2026-06-10,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2508447904.0,份,,akshare:szse_daily,未分类,45000000.0,0.0182670800250866,
2026-06-11,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2508447904.0,份,,akshare:szse_daily,未分类,0.0,0.0,
2026-06-12,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2350447904.0,份,,akshare:szse_daily,未分类,-158000000.0,-0.0629871562204068,
2026-06-15,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2459447904.0,份,,akshare:szse_daily,未分类,109000000.0,0.0463741399307355,
2026-06-16,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2585447904.0,份,,akshare:szse_daily,未分类,126000000.0,0.0512310099331951,
2026-06-17,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2762447904.0,份,,akshare:szse_daily,未分类,177000000.0,0.0684600914704797,
2026-06-18,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2881447904.0,份,,akshare:szse_daily,未分类,119000000.0,0.0430777354489433,
2026-06-22,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2967447904.0,份,,akshare:szse_daily,未分类,86000000.0,0.0298461061470573,
2026-06-23,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2915447904.0,份,,akshare:szse_daily,未分类,-52000000.0,-0.0175234752832243,
2026-06-24,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2902447904.0,份,,akshare:szse_daily,未分类,-13000000.0,-0.0044590061040583,
2026-06-25,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3031447904.0,份,,akshare:szse_daily,未分类,129000000.0,0.0444452421772046,
2026-06-26,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3177447904.0,份,,akshare:szse_daily,未分类,146000000.0,0.0481618040697162,
2026-06-29,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3157447904.0,份,,akshare:szse_daily,未分类,-20000000.0,-0.0062943596887371,
2026-06-30,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3114447904.0,份,,akshare:szse_daily,未分类,-43000000.0,-0.0136185936577213,
2026-07-01,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3108447904.0,份,,akshare:szse_daily,未分类,-6000000.0,-0.0019265051736116,
2026-07-02,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,3035447904.0,份,,akshare:szse_daily,未分类,-73000000.0,-0.0234843890759959,
2026-07-03,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2894447904.0,份,,akshare:szse_daily,未分类,-141000000.0,-0.0464511348767328,
2026-07-06,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2799447904.0,份,,akshare:szse_daily,未分类,-95000000.0,-0.0328214578914045,
2026-07-07,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2791447904.0,份,,akshare:szse_daily,未分类,-8000000.0,-0.0028577063315124,
2026-07-08,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2741447904.0,份,,akshare:szse_daily,未分类,-50000000.0,-0.0179118513830591,
2026-07-09,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2732447904.0,份,,akshare:szse_daily,未分类,-9000000.0,-0.0032829367236445,
2026-07-10,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2819447904.0,份,,akshare:szse_daily,未分类,87000000.0,0.0318395823293251,
2026-07-13,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2739447904.0,份,,akshare:szse_daily,未分类,-80000000.0,-0.028374349420148,
2026-07-14,akshare_fund_scale_daily_szse,SZ,159732,消费电子ETF华夏,2783447904.0,份,,akshare:szse_daily,未分类,44000000.0,0.0160616304970623,
