market,code,name,industry,plot_industry,classification_rule
SZ,159983,粤港澳大湾区ETF,,区域主题,固定类别/排除词
SZ,159710,智能电车ETF,,待人工确认,名称关键词
SZ,159733,消费电子50ETF,,科技,名称关键词
SH,512320,工银MSCI,,港股/海外,固定类别/排除词
SH,517270,科技TOP,,待人工确认,名称关键词
SH,517760,消费TOP,,消费,名称关键词
SZ,159646,疫苗ETF基金,,医药医疗,名称关键词
SZ,159693,有色矿业ETF,,资源周期,名称关键词
SH,515670,中银100,,待人工确认,名称关键词
SZ,159769,消费电子龙头ETF,,科技,名称关键词
SZ,159990,小盘价值ETF,,策略类,固定类别/排除词
SZ,159503,财富管理ETF,,待人工确认,名称关键词
SZ,159823,H股ETF基金,,港股/海外,固定类别/排除词
SH,517280,网购ETF,,待人工确认,名称关键词
SH,516690,化工产业,,资源周期,名称关键词
SZ,159522,国证2000ETF景顺,,宽基/综合指数,宽基关键词/人工映射
SZ,159987,科技创新ETF,,待人工确认,名称关键词
SH,517960,科技AH,,待人工确认,名称关键词
SH,561710,疫苗,,医药医疗,名称关键词
SH,515280,银行龙头,,金融,名称关键词
SH,513960,港股消费,,港股/海外,固定类别/排除词
SZ,159683,运输ETF,,待人工确认,名称关键词
SZ,159579,深主板50ETF华安,,宽基/综合指数,宽基关键词/人工映射
SH,515780,浦银MSCI,,港股/海外,固定类别/排除词
SH,560960,碳60ETF,,待人工确认,名称关键词
SH,562260,汽配ETF,,待人工确认,名称关键词
SH,512280,景顺MSCI,,港股/海外,固定类别/排除词
SH,516480,新材料基,,资源周期,名称关键词
SZ,159969,深100ETF银华,,待人工确认,名称关键词
SH,560890,红利DB,,策略类,固定类别/排除词
SH,560000,智慧电车,,待人工确认,名称关键词
SH,560650,核心50,,待人工确认,名称关键词
SZ,159156,电池ETF万家,,新能源,名称关键词
SZ,159508,生物医药ETF华安,,医药医疗,名称关键词
SZ,159157,有色金属ETF天弘,,资源周期,名称关键词
SZ,159323,港股通汽车ETF华夏,,港股/海外,固定类别/排除词
SZ,159633,中证1000ETF易方达,,宽基/综合指数,宽基关键词/人工映射
SZ,159750,港股科技50ETF招商,,港股/海外,固定类别/排除词
SZ,159751,港股通科技ETF鹏华,,港股/海外,固定类别/排除词
SZ,159178,消费电子ETF汇添富,,科技,名称关键词
SZ,159730,家电ETF博时,,消费,名称关键词
SZ,159398,信用债ETF天弘,,债券/货币,固定类别/排除词
SZ,159565,汽车零部件ETF易方达,,汽车,名称关键词
SH,510100,SZ50ETF,,待人工确认,名称关键词
SZ,159507,通信ETF广发,,科技,名称关键词
SZ,159557,恒生医疗ETF嘉实,,港股/海外,固定类别/排除词
SZ,159158,电力ETF景顺,,公用事业,名称关键词
SZ,159748,创新药ETF富国,,医药医疗,名称关键词
SZ,159806,新能源车ETF国泰,,新能源,名称关键词
SZ,159177,工程机械ETF鹏华,,高端制造,名称关键词
SZ,159396,信用债ETF博时,,债券/货币,固定类别/排除词
SZ,159616,农牧ETF建信,,待人工确认,名称关键词
SZ,159159,公用事业ETF国投瑞银,,公用事业,名称关键词
SZ,159506,港股通创新药医疗ETF富国,,港股/海外,固定类别/排除词
SZ,159747,香港科技ETF南方,,待人工确认,名称关键词
SH,510060,央企ETF,,区域主题,固定类别/排除词
SZ,159296,A500红利低波ETF华宝,,宽基/综合指数,宽基关键词/人工映射
SZ,159556,中证2000增强ETF平安,,宽基/综合指数,宽基关键词/人工映射
SZ,159297,港股通创新药ETF南方,,港股/海外,固定类别/排除词
SZ,159639,碳中和ETF南方,,待人工确认,名称关键词
SZ,159149,创业板新能源ETF工银,,宽基/综合指数,宽基关键词/人工映射
SZ,159181,石油ETF易方达,,资源周期,名称关键词
SZ,159816,0-4年地方债ETF鹏华,,债券/货币,固定类别/排除词
SZ,159150,深证50ETF易方达,,待人工确认,名称关键词
SZ,159758,红利质量ETF华夏,,策略类,固定类别/排除词
SZ,159728,在线消费ETF南方,,消费,名称关键词
SZ,159553,中证2000增强ETF海富通,,宽基/综合指数,宽基关键词/人工映射
SZ,159511,通信ETF南方,,科技,名称关键词
SZ,159151,食品ETF华夏,,消费,名称关键词
SZ,159395,信用债ETF大成,,债券/货币,固定类别/排除词
SZ,159298,创业板50ETF大成,,宽基/综合指数,宽基关键词/人工映射
SZ,159757,电池ETF景顺,,新能源,名称关键词
SZ,159155,电池ETF大成,,新能源,名称关键词
SZ,159322,黄金股ETF平安,,商品,固定类别/排除词
SZ,159617,中证500价值ETF华夏,,宽基/综合指数,宽基关键词/人工映射
SZ,159510,沪深300价值ETF华夏,,宽基/综合指数,宽基关键词/人工映射
SZ,159755,电池ETF广发,,新能源,名称关键词
SZ,159153,消费电子ETF鹏华,,科技,名称关键词
SZ,159555,中证2000增强ETF银华,,宽基/综合指数,宽基关键词/人工映射
SZ,159859,生物医药ETF天弘,,医药医疗,名称关键词
SZ,159180,软件ETF银华,,科技,名称关键词
SZ,159729,互联网ETF汇添富,,科技,名称关键词
SZ,159327,半导体设备ETF万家,,科技,名称关键词
SZ,159179,港股通互联网ETF工银,,港股/海外,固定类别/排除词
SZ,159752,新能源ETF申万菱信,,新能源,名称关键词
SZ,159509,纳指科技ETF景顺,,港股/海外,固定类别/排除词
SZ,159152,港股通科技ETF平安,,港股/海外,固定类别/排除词
SZ,159160,电池ETF东财,,新能源,名称关键词
SZ,159745,建材ETF国泰,,待人工确认,名称关键词
SZ,159558,半导体设备ETF易方达,,科技,名称关键词
SZ,159740,恒生科技ETF大成,,港股/海外,固定类别/排除词
SZ,159834,金ETF南方,,待人工确认,名称关键词
SZ,159168,有色ETF富国,,资源周期,名称关键词
SZ,159615,恒生生物科技ETF南方,,港股/海外,固定类别/排除词
SZ,159500,中证500ETF富国,,宽基/综合指数,宽基关键词/人工映射
SZ,159176,家电ETF华宝,,消费,名称关键词
SZ,159739,云计算ETF鹏华,,科技,名称关键词
SZ,159169,恒生生物科技ETF广发,,港股/海外,固定类别/排除词
SZ,159560,芯片ETF景顺,,科技,名称关键词
