date,industry,shares_change,cash_proxy,etf_count,shares_change_5d,shares_change_20d
2024-01-02,军工,0.0,0.0,1,0.0,0.0
2024-01-02,宽基指数,0.0,0.0,6,0.0,0.0
2024-01-02,新能源,0.0,0.0,3,0.0,0.0
2024-01-02,未分类,0.0,0.0,848,0.0,0.0
2024-01-02,海外指数,0.0,0.0,1,0.0,0.0
2024-01-02,消费,0.0,0.0,3,0.0,0.0
2024-01-02,科技,0.0,0.0,1,0.0,0.0
2024-01-02,红利策略,0.0,0.0,2,0.0,0.0
2024-01-02,金融,0.0,0.0,3,0.0,0.0
2024-01-03,未分类,2173960615.999999,0.0,848,2173960615.999999,2173960615.999999
2024-01-03,科技,290000000.0,0.0,1,290000000.0,290000000.0
2024-01-03,宽基指数,95700000.0,0.0,6,95700000.0,95700000.0
2024-01-03,新能源,8000000.0,0.0,3,8000000.0,8000000.0
2024-01-03,军工,4000000.0,0.0,1,4000000.0,4000000.0
2024-01-03,红利策略,-11000000.0,0.0,2,-11000000.0,-11000000.0
2024-01-03,消费,-50700000.0,0.0,3,-50700000.0,-50700000.0
2024-01-03,海外指数,-65000000.0,0.0,1,-65000000.0,-65000000.0
2024-01-03,金融,-99600000.0,0.0,3,-99600000.0,-99600000.0
2024-01-04,未分类,3433519979.0,0.0,847,5607480594.999999,5607480594.999999
2024-01-04,科技,182000000.0,0.0,1,472000000.0,472000000.0
2024-01-04,红利策略,83000000.0,0.0,2,72000000.0,72000000.0
2024-01-04,海外指数,-32500000.0,0.0,1,-97500000.0,-97500000.0
2024-01-04,消费,-94100000.0,0.0,3,-144800000.0,-144800000.0
2024-01-04,新能源,-109500000.0,0.0,3,-101500000.0,-101500000.0
2024-01-04,军工,-123000000.0,0.0,1,-119000000.0,-119000000.0
2024-01-04,金融,-344100000.0,0.0,3,-443700000.0,-443700000.0
2024-01-04,宽基指数,-467400000.0,0.0,6,-371700000.0,-371700000.0
2024-01-05,未分类,5207797658.0,0.0,850,10815278253.0,10815278253.0
2024-01-05,红利策略,400000000.0,0.0,2,472000000.0,472000000.0
2024-01-05,科技,272000000.0,0.0,1,744000000.0,744000000.0
2024-01-05,军工,98000000.0,0.0,1,-21000000.0,-21000000.0
2024-01-05,海外指数,0.0,0.0,1,-97500000.0,-97500000.0
2024-01-05,消费,-48500000.0,0.0,3,-193300000.0,-193300000.0
2024-01-05,新能源,-60500000.0,0.0,3,-162000000.0,-162000000.0
2024-01-05,金融,-114100000.0,0.0,3,-557800000.0,-557800000.0
2024-01-05,宽基指数,-195800000.0,0.0,6,-567500000.0,-567500000.0
2024-01-08,未分类,2988522899.0,0.0,850,13803801152.0,13803801152.0
2024-01-08,宽基指数,457100000.0,0.0,6,-110400000.0,-110400000.0
2024-01-08,军工,89000000.0,0.0,1,68000000.0,68000000.0
2024-01-08,金融,40700000.0,0.0,3,-517100000.0,-517100000.0
2024-01-08,红利策略,13000000.0,0.0,2,485000000.0,485000000.0
2024-01-08,海外指数,2600000.0,0.0,1,-94900000.0,-94900000.0
2024-01-08,科技,-2000000.0,0.0,1,742000000.0,742000000.0
2024-01-08,新能源,-65000000.0,0.0,3,-227000000.0,-227000000.0
2024-01-08,消费,-66600000.0,0.0,3,-259900000.0,-259900000.0
2024-01-09,未分类,2548726378.0,0.0,852,16352527530.0,16352527530.0
2024-01-09,宽基指数,435600000.0,0.0,6,325200000.0,325200000.0
2024-01-09,军工,158000000.0,0.0,1,226000000.0,226000000.0
2024-01-09,海外指数,49400000.0,0.0,1,-45500000.0,-45500000.0
2024-01-09,金融,25300000.0,0.0,3,-491800000.0,-491800000.0
2024-01-09,红利策略,17500000.0,0.0,2,502500000.0,502500000.0
2024-01-09,新能源,-31500000.0,0.0,3,-258500000.0,-258500000.0
2024-01-09,消费,-56900000.0,0.0,3,-316800000.0,-316800000.0
