衡量行业,颜色,市场,ETF代码,ETF名称,分类依据
公用事业,#DB2777,SH,512140,电力事业,名称关键词
公用事业,#DB2777,SH,512580,环保ETF,名称关键词
公用事业,#DB2777,SH,516370,全指电力,名称关键词
公用事业,#DB2777,SH,560190,公用事业,名称关键词
公用事业,#DB2777,SH,560270,电力指数,名称关键词
公用事业,#DB2777,SH,560450,电力TH,名称关键词
公用事业,#DB2777,SH,560460,电力平安,名称关键词
公用事业,#DB2777,SH,560480,中证电力,名称关键词
公用事业,#DB2777,SH,560580,电力指基,名称关键词
公用事业,#DB2777,SH,560930,电力E,名称关键词
公用事业,#DB2777,SH,561560,电力ETF,名称关键词
公用事业,#DB2777,SH,561700,电力基金,名称关键词
公用事业,#DB2777,SH,562350,电力,名称关键词
公用事业,#DB2777,SH,562960,绿色电力,名称关键词
公用事业,#DB2777,SZ,159059,电力ETF大成,名称关键词
公用事业,#DB2777,SZ,159061,绿色电力ETF南方,名称关键词
公用事业,#DB2777,SZ,159067,绿色电力ETF鹏华,名称关键词
公用事业,#DB2777,SZ,159146,电力ETF华宝,名称关键词
公用事业,#DB2777,SZ,159158,电力ETF景顺,名称关键词
公用事业,#DB2777,SZ,159159,公用事业ETF国投瑞银,名称关键词
公用事业,#DB2777,SZ,159301,公用事业ETF华夏,名称关键词
公用事业,#DB2777,SZ,159611,电力ETF广发,名称关键词
公用事业,#DB2777,SZ,159625,绿色电力ETF嘉实,名称关键词
公用事业,#DB2777,SZ,159669,绿色电力ETF国泰,名称关键词
军工,#475569,SH,512560,中证军工,名称关键词
军工,#475569,SH,512660,军工ETF,人工映射
军工,#475569,SH,512670,国防ETF,名称关键词
军工,#475569,SH,512680,军工基金,名称关键词
军工,#475569,SH,512710,军工龙头,名称关键词
军工,#475569,SH,512810,国防军工,名称关键词
军工,#475569,SH,563380,航空航天,名称关键词
军工,#475569,SZ,158009,航空航天ETF南方,名称关键词
军工,#475569,SZ,159208,航空航天ETF万家,名称关键词
军工,#475569,SZ,159227,航空航天ETF华夏,名称关键词
军工,#475569,SZ,159241,航空航天ETF天弘,名称关键词
军工,#475569,SZ,159638,航空航天ETF嘉实,名称关键词
农业,#65A30D,SH,512620,农业TH,名称关键词
农业,#65A30D,SH,516550,农业ETF,名称关键词
农业,#65A30D,SH,516810,农业,名称关键词
农业,#65A30D,SH,561470,畜牧TH,名称关键词
农业,#65A30D,SH,562900,现代农业,名称关键词
农业,#65A30D,SZ,159030,粮食ETF华夏,名称关键词
农业,#65A30D,SZ,159031,粮食ETF博时,名称关键词
农业,#65A30D,SZ,159033,粮食ETF国泰,名称关键词
农业,#65A30D,SZ,159038,粮食ETF易方达,名称关键词
农业,#65A30D,SZ,159041,农业ETF鹏华,名称关键词
农业,#65A30D,SZ,159060,粮食ETF浦银,名称关键词
农业,#65A30D,SZ,159063,粮食ETF南方,名称关键词
农业,#65A30D,SZ,159072,粮食ETF景顺,名称关键词
农业,#65A30D,SZ,159073,粮食ETF汇添富,名称关键词
农业,#65A30D,SZ,159587,粮食ETF广发,名称关键词
农业,#65A30D,SZ,159698,粮食ETF鹏华,名称关键词
农业,#65A30D,SZ,159825,农业ETF富国,名称关键词
农业,#65A30D,SZ,159827,农业ETF银华,名称关键词
医药医疗,#DC2626,SH,510660,医药行业,名称关键词
医药医疗,#DC2626,SH,512010,医药ETF,名称关键词
医药医疗,#DC2626,SH,512120,医药50,名称关键词
医药医疗,#DC2626,SH,512170,医疗ETF,名称关键词
医药医疗,#DC2626,SH,512290,生物医药,名称关键词
医药医疗,#DC2626,SH,513120,HK创新药,名称关键词
医药医疗,#DC2626,SH,513620,港医疗指,名称关键词
医药医疗,#DC2626,SH,513700,香港医药,名称关键词
医药医疗,#DC2626,SH,515120,创新药,名称关键词
医药医疗,#DC2626,SH,515950,医药龙头,名称关键词
医药医疗,#DC2626,SH,515960,医药100,名称关键词
医药医疗,#DC2626,SH,516080,创新医药,名称关键词
医药医疗,#DC2626,SH,516500,生物ETF,名称关键词
医药医疗,#DC2626,SH,516820,医疗创新,名称关键词
医药医疗,#DC2626,SH,517110,创新药HK,名称关键词
医药医疗,#DC2626,SH,517120,创新药50,名称关键词
医药医疗,#DC2626,SH,517380,创新药AH,名称关键词
医药医疗,#DC2626,SH,517990,医药基金,名称关键词
医药医疗,#DC2626,SH,520700,创新药WJ,名称关键词
医药医疗,#DC2626,SH,520850,港医疗,名称关键词
医药医疗,#DC2626,SH,520880,港创新药,名称关键词
医药医疗,#DC2626,SH,526010,香港医疗,名称关键词
医药医疗,#DC2626,SH,560080,中药ETF,名称关键词
医药医疗,#DC2626,SH,560260,医疗50,名称关键词
医药医疗,#DC2626,SH,560900,创新药企,名称关键词
