date,军工,宽基指数,新能源,未分类,海外指数,消费,科技,红利策略,金融
2024-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-03,4.0,95.7,8.0,2173.960615999999,-65.0,-50.7,290.0,-11.0,-99.6
2024-01-04,-123.0,-467.4,-109.5,3433.519979,-32.5,-94.1,182.0,83.0,-344.1
2024-01-05,98.0,-195.8,-60.5,5207.797658,0.0,-48.5,272.0,400.0,-114.1
2024-01-08,89.0,457.1,-65.0,2988.522899,2.6,-66.6,-2.0,13.0,40.7
2024-01-09,158.0,435.6,-31.5,2548.726378,49.4,-56.9,-110.0,17.5,25.3
2024-01-10,99.0,223.7,349.0,1108.298891,49.4,-112.2,-92.0,42.5,50.3
2024-01-11,-66.0,707.6,51.0,-544.17034,49.4,-41.7,-136.0,156.5,-2.8
2024-01-12,21.0,-340.3,143.0,285.86883700000095,49.4,-13.5,28.0,46.0,16.4
2024-01-15,61.0,-115.8,-52.5,818.568339,0.0,7.2,-232.0,2.5,-25.6
2024-01-16,-47.0,565.9,51.5,5267.3758,49.4,22.4,126.0,175.0,203.8
2024-01-17,-51.0,1217.4,-7.0,5459.031765999996,49.4,-96.3,-104.0,35.0,93.4
2024-01-18,-170.0,5864.8,-74.5,2292.339386,49.4,-132.7,-348.0,96.0,471.2
2024-01-19,-34.0,3742.4,211.0,3421.806464999999,49.4,-114.8,-90.0,-23.5,16.9
2024-01-22,-17.0,7197.899999999992,17.0,8998.216109,49.4,-140.8,80.0,3.5,-14.9
2024-01-23,-126.0,679.4,2.5,-1117.477618,49.4,-30.5,-382.0,100.5,-191.7
2024-01-24,-18.0,1851.7,67.0,4929.190315,49.4,54.1,58.0,44.5,-466.0
2024-01-25,31.0,855.2,195.5,3439.8529,49.4,33.9,-218.0,55.0,194.8
2024-01-26,-10.0,2325.5,-63.0,3808.274999,49.4,-9.5,434.0,-64.5,-617.0
2024-01-29,6.0,380.5,-174.0,2021.296252,49.4,-187.6,-18.0,-117.5,-61.5
2024-01-30,-48.0,1918.9,-334.5,2243.4265910000004,49.4,-47.4,-194.0,32.0,54.8
2024-01-31,3.0,3112.9,-224.0,4402.978326,49.4,47.0,-262.0,40.5,-50.7
2024-02-01,-7.0,3127.6,-285.5,1516.1787,49.4,-74.2,-338.0,188.0,-67.8
2024-02-02,-22.0,3727.4,-91.5,7126.704178999999,49.4,-99.2,-172.0,386.0,501.7
2024-02-05,-4.0,8408.900000000001,-220.0,11647.799159,49.4,-184.3,-350.0,40.0,85.5
2024-02-06,-44.0,1981.2,-268.5,2114.1051199999924,49.4,-143.8,-482.0,-139.0,-496.1
2024-02-07,-214.0,8152.7,-260.5,7051.574971000001,49.4,-260.9,-338.0,-96.5,-746.7
2024-02-08,-74.0,5385.4,-227.0,11860.95405,49.4,-122.1,-270.0,-3.5,-419.4
2024-02-19,-80.0,1632.3,-85.5,-547.7372690000028,0.0,-145.1,-144.0,-34.5,-178.2
2024-02-20,-37.0,-165.8,-109.5,-1764.032507,49.4,-95.1,-154.0,312.0,34.0
2024-02-21,11.0,531.5,-83.0,-1350.905595,49.4,-296.1,18.0,-10.0,-402.2
2024-02-22,-34.0,-234.7,-54.5,-1729.549595999998,49.4,22.6,-202.0,-18.5,-146.9
2024-02-23,-51.0,-437.5,56.5,-1764.511957,49.4,3.3,-180.0,-17.5,24.4
2024-02-26,-22.0,-1218.3,-125.5,-5315.608284,9.1,-108.5,-180.0,-113.0,-222.0
2024-02-27,-53.0,-27.5,63.0,-4323.640609,9.1,81.0,-334.0,-42.0,-182.2
2024-02-28,-9.0,925.0,-196.5,-664.911145,9.1,181.3,196.0,-34.5,-731.7
2024-02-29,-88.0,579.4,-217.0,-6435.682502999999,9.1,-130.6,-796.0,-27.5,96.2
2024-03-01,9.0,-2.7,64.5,-3813.584282,9.1,-79.9,-90.0,-78.5,77.3
2024-03-04,-36.0,-1455.5,-124.0,-4939.250652,9.1,-127.1,-274.0,9.0,209.1
2024-03-05,12.0,5218.1,-165.0,5069.137088,9.1,-236.7,-362.0,20.0,-276.1
2024-03-06,-41.0,1773.8,22.5,1986.530597,9.1,25.9,-62.0,68.5,-57.9
2024-03-07,-28.0,252.0,44.5,1792.4399560000013,9.1,-110.5,80.0,-18.0,-104.5
2024-03-08,-25.0,269.6,-62.5,-2089.498708,9.1,36.4,-318.0,5.5,96.7
2024-03-11,-26.0,-1202.1,-120.0,-6997.981835,9.1,-180.7,70.0,-93.0,160.8
2024-03-12,85.0,873.3,47.0,-2198.339675,9.1,-422.0,94.0,-74.0,53.3
2024-03-13,-73.0,-317.9,79.0,-2697.530012,9.1,-178.6,-114.0,-56.0,277.7
2024-03-14,28.0,-388.9,104.5,-573.862542,9.1,-82.5,68.0,52.0,216.4
2024-03-15,-6.0,-574.0,111.5,-417.553757,9.1,-40.3,-6.0,-68.0,-29.9
2024-03-18,-90.0,-1406.9,-289.0,-3290.836139,9.1,68.2,-342.0,-72.5,-601.9
2024-03-19,-56.0,-822.1,79.0,-1750.5078550000003,9.1,-101.7,-14.0,39.5,101.9
2024-03-20,-12.0,-127.2,-46.0,-1213.275127,9.1,-32.2,34.0,-2.0,322.6
2024-03-21,-38.0,-313.5,36.5,-2480.628098,9.1,-45.5,52.0,-89.0,-255.7
2024-03-22,-83.0,-30.8,-63.0,690.81544,9.1,-112.2,-174.0,10.5,-47.7
2024-03-25,-40.0,-444.7,-99.5,-853.2762900000009,9.1,33.5,-84.0,18.0,715.8
2024-03-26,-8.0,447.6,7.5,1134.9599790000009,9.1,-116.5,392.0,36.0,57.8
2024-03-27,36.0,-220.0,-79.5,1624.0671,9.1,-27.5,124.0,64.0,218.4
2024-03-28,-90.0,-265.3,-118.5,-667.7227490000009,9.1,-30.5,8.0,52.5,103.0
2024-03-29,-48.0,-727.2,-115.5,1323.417931,0.0,57.5,56.0,-36.5,197.9
2024-04-01,-93.0,703.4,-267.5,-597.436806,9.1,89.8,-32.0,-0.5,-192.0
2024-04-02,-11.0,215.5,-21.5,1216.758027,9.1,27.0,174.0,-6.5,13.7
2024-04-03,79.0,-428.8,-125.0,-11.713293,9.1,-13.6,172.0,-41.0,-26.1
2024-04-08,28.0,-864.3,-5.5,1387.808025,9.1,23.8,82.0,-32.0,-26.2
2024-04-09,12.0,63.5,-64.5,644.1796299999997,9.1,18.1,68.0,-83.5,-120.0
2024-04-10,42.0,-221.2,4.0,2174.610722,9.1,-127.3,202.0,-65.0,586.9
2024-04-11,-38.0,274.2,-61.0,3841.4670260000003,9.1,67.0,-104.0,-65.0,61.8
2024-04-12,-35.0,-948.5,-28.0,451.145067,9.1,-4.2,-216.0,10.5,391.1
2024-04-15,-65.0,-394.5,-29.5,440.231404,9.1,-116.2,-12.0,15.5,26.8
2024-04-16,43.0,-192.3,-52.0,3570.887774,9.1,33.0,112.0,39.5,122.1
2024-04-17,-61.0,347.5,-59.5,-1423.914401,9.1,39.1,-558.0,60.0,76.3
